dmd_type,dmd_id,dmd_name,bnf_code
VMP,423266009,Levothyroxine sodium 75microgram capsules,0602010V0AAAEAE
AMP,8787811000001100,Levothyroxine sodium 75microgram capsules,0602010V0AAAEAE
VMP,424293002,Levothyroxine sodium 50microgram capsules,0602010V0AAAFAF
AMP,8787211000001100,Levothyroxine sodium 50microgram capsules,0602010V0AAAFAF
VMP,424458007,Levothyroxine sodium 25microgram capsules,0602010V0AAAGAG
AMP,8787511000001100,Levothyroxine sodium 25microgram capsules,0602010V0AAAGAG
VMP,8817111000001100,Levothyroxine sodium 25microgram oral powder sachets,0602010V0AAAIAI
AMP,8811311000001100,Levothyroxine sodium 25microgram oral powder sachets,0602010V0AAAIAI
VMP,8817511000001100,Levothyroxine sodium 60microgram oral powder sachets,0602010V0AAAZAZ
AMP,8812811000001100,Levothyroxine sodium 60microgram oral powder sachets,0602010V0AAAZAZ
VMP,8816811000001100,Levothyroxine sodium 200microgram capsules,0602010V0AABHBH
AMP,8807111000001100,Levothyroxine sodium 200microgram capsules,0602010V0AABHBH
VMP,8797711000001100,Levothyroxine sodium 12.5microgram capsules,0602010V0AABMBM
AMP,8786111000001100,Levothyroxine sodium 12.5microgram capsules,0602010V0AABMBM
VMP,8817411000001100,Levothyroxine sodium 50microgram oral powder sachets,0602010V0AABPBP
AMP,8812511000001100,Levothyroxine sodium 50microgram oral powder sachets,0602010V0AABPBP
VMP,8817211000001100,Levothyroxine sodium 30microgram oral powder sachets,0602010V0AABTBT
AMP,8811611000001100,Levothyroxine sodium 30microgram oral powder sachets,0602010V0AABTBT
VMP,8817311000001100,Levothyroxine sodium 40microgram oral powder sachets,0602010V0AABVBV
AMP,8812211000001100,Levothyroxine sodium 40microgram oral powder sachets,0602010V0AABVBV
VMP,374294006,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,262411000001104,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,48011000001109,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,20537711000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,565811000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,13580911000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,552611000001101,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,830611000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,30220611000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,3308711000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,37566711000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,17935911000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,29891111000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,25011000001104,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,869311000001105,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,22070911000001100,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,743111000001102,Levothyroxine sodium 25microgram tablets,0602010V0AABWBW
AMP,19845811000001100,Levothyroxine sodium 25microgram tablets lactose free,0602010V0AABWBW
VMP,374295007,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,862411000001109,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,35111000001101,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,19313511000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,184111000001101,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,9809511000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,10436511000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,13581111000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,106111000001107,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,306711000001101,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,30220811000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,4219811000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,34738511000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,17936111000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,29891511000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,83011000001108,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,83411000001104,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,22071111000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,15972611000001100,Levothyroxine sodium 50microgram tablets,0602010V0AABXBX
AMP,19846111000001100,Levothyroxine sodium 50microgram tablets lactose free,0602010V0AABXBX
